teks_keluhan_awam|teks_laporan_teknisi|tipe_aset|lokasi_gedung|lokasi_lantai|lokasi_zona|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
Kamera CCTV overheat karena human error|Belum ada laporan teknisi|Kamera CCTV|Gedung Utama|Lantai 15|Zona Timur|Security Sistem|Ringan|Human error|Overheat|356000
Kamera CCTV di Gedung Utama lantai 15 zona timur mengalami kerusakan karena overheat yang disebabkan oleh human error, perlu perbaikan segera|Belum ada laporan teknisi|Kamera CCTV|Gedung Utama|Lantai 15|Zona Timur|Security Sistem|Ringan|Human error|Overheat|356000
Lampu wall sign di gedung kami tidak berfungsi dengan baik, remote kontrolnya netes dan suaranya agak berisik, sepertinya overload|Lampu wall sign tidak berfungsi|Lampu Wall sign|Gedung B|Lantai 10|Zona Timur|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Lampu wall sign mati total, remote gak berfungsi, kayaknya overload|Lampu wall sign mati|Lampu Wall sign|Gedung B|Lantai 10|Zona Timur|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Lampu wall sign di lantai 10 zona timur mengalami gangguan, remote kontrolnya tidak berfungsi dan suara yang dihasilkan agak berisik, kemungkinan karena overload|Laporan teknisi|Lampu Wall sign|Gedung B|Lantai 10|Zona Timur|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Lampu wall sign di gedung kami tidak berfungsi dengan baik, remote kontrolnya netes dan suaranya agak berisik, sepertinya overload|Lampu wall sign tidak berfungsi|Lampu Wall sign|Gedung B|Lantai 10|Zona Timur|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Lampu wall sign mati total, remote gak berfungsi, kayaknya overload|Lampu wall sign mati|Lampu Wall sign|Gedung B|Lantai 10|Zona Timur|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Lampu wall sign di lantai 10 zona timur mengalami gangguan, remote kontrolnya tidak berfungsi dan suara yang dihasilkan agak berisik, kemungkinan karena overload|Laporan teknisi|Lampu Wall sign|Gedung B|Lantai 10|Zona Timur|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Pompa chiller water sekunder saya netes terus karena kurang perawatan, jadi sering overheat dan mengganggu rutinitas kerja|Pompa chiller water sekunder mengalami overheat karena kurang perawatan|Pompa Chiller Water Sekunder|Gedung Utama|17|Zona Barat|Mechanical|Ringan|Kurang perawatan|Overheat|122000
Pompa chiller water sekunder agak berisik karena overheat, tolong diperbaiki|Pompa chiller water sekunder mengalami kerusakan karena kurang perawatan|Pompa Chiller Water Sekunder|Gedung Utama|17|Zona Barat|Mechanical|Ringan|Kurang perawatan|Overheat|122000
Pompa chiller water sekunder di lantai 17 zona barat mengalami masalah overheat karena kurang perawatan, perlu diperbaiki agar tidak mengganggu kerja|Pompa chiller water sekunder memerlukan perawatan rutin untuk mencegah overheat|Pompa Chiller Water Sekunder|Gedung Utama|17|Zona Barat|Mechanical|Ringan|Kurang perawatan|Overheat|122000
Pompa chiller water sekunder saya netes terus karena kurang perawatan, jadi sering overheat dan mengganggu rutinitas kerja|Pompa chiller water sekunder mengalami overheat karena kurang perawatan|Pompa Chiller Water Sekunder|Gedung Utama|17|Zona Barat|Mechanical|Ringan|Kurang perawatan|Overheat|122000
Pompa chiller water sekunder agak berisik karena overheat, tolong diperbaiki|Pompa chiller water sekunder mengalami kerusakan karena kurang perawatan|Pompa Chiller Water Sekunder|Gedung Utama|17|Zona Barat|Mechanical|Ringan|Kurang perawatan|Overheat|122000
Pompa chiller water sekunder di lantai 17 zona barat mengalami masalah overheat karena kurang perawatan, perlu diperbaiki agar tidak mengganggu kerja|Pompa chiller water sekunder memerlukan perawatan rutin untuk mencegah overheat|Pompa Chiller Water Sekunder|Gedung Utama|17|Zona Barat|Mechanical|Ringan|Kurang perawatan|Overheat|122000
DVR CCTV di Gedung B Lantai 10 Zona Timur netes karena getaran berlebihan dan tegangan tidak stabil|DVR CCTV mengalami kerusakan karena getaran berlebihan|DVR CCTV|Gedung B|Lantai 10|Zona Timur|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
DVR CCTV rusak di Gedung B Lantai 10 Zona Timur karena getaran berlebihan|DVR CCTV mengalami kerusakan|DVR CCTV|Gedung B|Lantai 10|Zona Timur|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
DVR CCTV Honeywell di Gedung B Lantai 10 Zona Timur mengalami gangguan karena getaran berlebihan dan tegangan tidak stabil|DVR CCTV memerlukan perbaikan karena kerusakan|DVR CCTV|Gedung B|Lantai 10|Zona Timur|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
Getaran berlebihan dan overload membuat detektor panas tidak berfungsi dengan baik, saya sangat terganggu dengan suara netes yang berisik|Detektor panas mengalami kerusakan karena getaran berlebihan dan overload|Rate Of Rise Heat Detector|Gedung Utama|15|Selatan|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
Detektor panas rusak, getaran berlebihan dan overload|Detektor panas tidak berfungsi|Rate Of Rise Heat Detector|Gedung Utama|15|Selatan|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
Saya ingin melaporkan bahwa detektor panas di gedung utama lantai 15 zona selatan mengalami kerusakan karena getaran berlebihan dan overload, sehingga menyebabkan suara agak berisik dan mengganggu rutinitas|Detektor panas mengalami kerusakan karena getaran berlebihan dan overload|Rate Of Rise Heat Detector|Gedung Utama|15|Selatan|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
AC split di Gedung Utama Lantai 6 Zona Tengah saya mengalami aliran lemah dan kurang perawatan sehingga tidak bisa digunakan lagi|Aliran lemah karena kurang perawatan|Mitsubishi|Gedung Utama|Lantai 6|Zona Tengah|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
AC split rusak berat karena kurang perawatan|Kerusakan parah|AC Split|Mitsubishi|Gedung Utama|Lantai 6|Zona Tengah|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
Saya laporan bahwa AC split di Gedung Utama Lantai 6 Zona Tengah mengalami kerusakan parah karena kurang perawatan sehingga aliran udara sangat lemah|Kerusakan karena kurang perawatan|Mitsubishi|Gedung Utama|Lantai 6|Zona Tengah|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
Lampu TL di gedung parkir lantai 2 zona timur mati total karena faktor lingkungan, sangat mengganggu rutinitas|Lampu TL mati|Lampu TL|Gedung Parkir|Lantai 2|Zona Timur|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
Lampu TL zona timur mati|Lampu TL mati|Lampu TL|Gedung Parkir|Lantai 2|Zona Timur|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
Lampu TL di zona timur mengalami kerusakan karena faktor lingkungan, sehingga menyebabkan lampu mati, perlu perbaikan segera|Laporan teknisi|Lampu TL|Gedung Parkir|Lantai 2|Zona Timur|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
Pemipaan air bersih bocor dan mengeluarkan suara netes yang agak berisik karena sensor error yang disebabkan oleh faktor lingkungan|Tidak ada laporan teknisi|Pemipaan Air Bersih|Gedung Parkir|Lantai 2|Zona Timur|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Pemipaan air bersih bermasalah karena sensor error|Tidak ada laporan teknisi|Pemipaan Air Bersih|Gedung Parkir|Lantai 2|Zona Timur|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Pemipaan air bersih di Gedung Parkir Lantai 2 Zona Timur mengalami masalah sensor error yang disebabkan oleh faktor lingkungan sehingga mengeluarkan suara agak berisik|Tidak ada laporan teknisi|Pemipaan Air Bersih|Gedung Parkir|Lantai 2|Zona Timur|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Exhaust Fan jebol total, aus normal, tidak bisa buat angin|Exhaust Fanrusak, aus normal|Exhaust Fan|Gedung Servis|Lantai 2|Zona Selatan|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
Exhaust Fan mati total|Exhaust Fan rusak|Exhaust Fan|Gedung Servis|Lantai 2|Zona Selatan|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
Exhaust Fan tidak berfungsi total karena aus normal, perlu perbaikan segera|Exhaust Fan rusak, perlu ganti spare part|Exhaust Fan|Gedung Servis|Lantai 2|Zona Selatan|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
Lantai granit di gedung parkir lantai 1 zona utara mengalami performa menurun akibat faktor lingkungan, terkadang netes dan agak berisik|Lantai granit mengalami kerusakan|Lantai Granit|Gedung Parkir|Lantai 1|Zona Utara|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Lantai granit rusak|Perlu perbaikan|Lantai Granit|Gedung Parkir|Lantai 1|Zona Utara|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Lantai granit di gedung parkir zona utara mengalami penurunan performa karena faktor lingkungan, perlu perbaikan segera agar tidak mengganggu rutinitas|Laporan kerusakan lantai granit|Lantai Granit|Gedung Parkir|Lantai 1|Zona Utara|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Pompa air tanah di gedung A lantai 8 zona barat mati total karena aus dan abrasi parah akibat usia pakai yang sudah lama sekali|Pompa air tanah aus dan abrasi parah|Pompa Air Tanah|Gedung A|Lantai 8|Zona Barat|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Pompa air tanah jebol|Pompa air tanah rusak parah|Pompa Air Tanah|Gedung A|Lantai 8|Zona Barat|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Pompa air tanah di gedung A lantai 8 zona barat mengalami kerusakan berat karena aus dan abrasi yang disebabkan oleh usia pakai yang sudah lama|Pompa air tanah aus dan abrasi|Pompa Air Tanah|Gedung A|Lantai 8|Zona Barat|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Speaker netes terus karena debu/kotoran, suaranya jadi agak berisik dan mengganggu rutinitas kerja|Speaker mengalami overheat karena debu/kotoran|Speaker|Gedung E|Lantai 1|Zona Barat|Sistem Telekomunikasi Gedung|Ringan|Debu/kotoran|Overheat|150000
Speaker rusak|Speaker overheat karena debu/kotoran|Speaker|Gedung E|Lantai 1|Zona Barat|Sistem Telekomunikasi Gedung|Ringan|Debu/kotoran|Overheat|150000
Speaker di Gedung E Lantai 1 Zona Barat mengalami masalah overheat karena debu/kotoran, sehingga suaranya menjadi agak berisik|Speaker memiliki masalah overheat karena debu/kotoran|Speaker|Gedung E|Lantai 1|Zona Barat|Sistem Telekomunikasi Gedung|Ringan|Debu/kotoran|Overheat|150000
Pintu kaca hidrolik yang sering bergetar berlebihan dan mengeluarkan suara berisik karena tegangan listrik tidak stabil|Pintu kaca hidrolik mengalami getaran berlebihan|Pintu Kaca Hidrolik|Gedung C|Lantai 4|Zona Utara|Arsitektur|Ringan|Tegangan tidak stabil|Getaran berlebihan|249000
Pintu kaca hidrolik netes|Pintu kaca hidrolik agak berisik|Pintu Kaca Hidrolik|Gedung C|Lantai 4|Zona Utara|Arsitektur|Ringan|Tegangan tidak stabil|Getaran berlebihan|249000
Pintu kaca hidrolik di kantor kami mengalami gangguan karena getaran berlebihan yang disebabkan oleh tegangan listrik tidak stabil|Pintu kaca hidrolik perlu perawatan rutin|Pintu Kaca Hidrolik|Gedung C|Lantai 4|Zona Utara|Arsitektur|Ringan|Tegangan tidak stabil|Getaran berlebihan|249000
APAB Dry Powder jebol total karena aus normal dan abrasi parah, sangat mengganggu operasional|Sistem Pemadam Kebakaran APAB Dry Powder rusak|APAB Dry Powder|Gedung Gedung C|Lantai 4|Zona Utara|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2335000
Pemadaman kebakaran rusak berat|APAB Dry Powder tidak berfungsi|APAB Dry Powder|Gedung Gedung C|Lantai 4|Zona Utara|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2335000
Sistem Pemadam Kebakaran APAB Dry Powder mengalami kerusakan aus normal dan abrasi, sehingga tidak dapat beroperasi dengan baik, perlu segera diperbaiki|Laporan teknisi: APAB Dry Powder rusak parah|APAB Dry Powder|Gedung Gedung C|Lantai 4|Zona Utara|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2335000
Plafon gypsum di gedung E lantai 4 zona tengah ini membuat saya agak terganggu karena bunyi abnormal yang terdengar seperti netes-netes kecil, sepertinya aus normal karena sudah lama terpasang, tapi saya tidak terlalu khawatir karena hanya sedikit mengganggu rutinitas|Tidak ada laporan teknisi|Plafon Gypsum / GRC|Gedung E|Lantai 4|Zona Tengah|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Plafon gedung E lantai 4 zona tengah bunyi abnormal|Tidak ada laporan teknisi|Plafon Gypsum / GRC|Gedung E|Lantai 4|Zona Tengah|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Plafon di gedung E lantai 4 zona tengah mengalami kerusakan berupa bunyi abnormal yang cukup mengganggu, kemungkinan besar disebabkan oleh aus normal, perlu segera diperbaiki agar tidak mengganggu aktivitas|Tidak ada laporan teknisi|Plafon Gypsum / GRC|Gedung E|Lantai 4|Zona Tengah|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Kitchen sink bocor dan tekanan air tidak stabil, sudah lama terjadi karena usia pakai yang sudah lama, membuat saya kesal dan mengganggu rutinitas harian|Tekanan air tidak stabil dan bocor|Kitchen sink|Gedung B|Lantai 10|Zona Barat|Plumbing|Sedang|Usia pakai|Tekanan tidak stabil|Rp 1829000
Kitchen sink bocor, tekanan tidak stabil|Bocor dan tekanan tidak stabil|Kitchen sink|Gedung B|Lantai 10|Zona Barat|Plumbing|Sedang|Usia pakai|Tekanan tidak stabil|Rp 1829000
Saya ingin melaporkan kerusakan pada kitchen sink di Gedung B Lantai 10 Zona Barat, yaitu tekanan air yang tidak stabil dan bocor, kemungkinan karena usia pakai yang sudah lama, sehingga perlu perbaikan segera|Kerusakan kitchen sink|Kitchen sink|Gedung B|Lantai 10|Zona Barat|Plumbing|Sedang|Usia pakai|Tekanan tidak stabil|Rp 1829000
DVR CCTV di Gedung B Lantai 10 Zona Timur netes karena getaran berlebihan dan tegangan tidak stabil|DVR CCTV mengalami kerusakan karena getaran berlebihan|DVR CCTV|Gedung B|Lantai 10|Zona Timur|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
DVR CCTV rusak di Gedung B Lantai 10 Zona Timur karena getaran berlebihan|DVR CCTV mengalami kerusakan|DVR CCTV|Gedung B|Lantai 10|Zona Timur|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
DVR CCTV Honeywell di Gedung B Lantai 10 Zona Timur mengalami gangguan karena getaran berlebihan dan tegangan tidak stabil|DVR CCTV memerlukan perbaikan karena kerusakan|DVR CCTV|Gedung B|Lantai 10|Zona Timur|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
Getaran berlebihan dan overload membuat detektor panas tidak berfungsi dengan baik, saya sangat terganggu dengan suara netes yang berisik|Detektor panas mengalami kerusakan karena getaran berlebihan dan overload|Rate Of Rise Heat Detector|Gedung Utama|15|Selatan|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
Detektor panas rusak, getaran berlebihan dan overload|Detektor panas tidak berfungsi|Rate Of Rise Heat Detector|Gedung Utama|15|Selatan|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
Saya ingin melaporkan bahwa detektor panas di gedung utama lantai 15 zona selatan mengalami kerusakan karena getaran berlebihan dan overload, sehingga menyebabkan suara agak berisik dan mengganggu rutinitas|Detektor panas mengalami kerusakan karena getaran berlebihan dan overload|Rate Of Rise Heat Detector|Gedung Utama|15|Selatan|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
AC split di Gedung Utama Lantai 6 Zona Tengah saya mengalami aliran lemah dan kurang perawatan sehingga tidak bisa digunakan lagi|Aliran lemah karena kurang perawatan|Mitsubishi|Gedung Utama|Lantai 6|Zona Tengah|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
AC split rusak berat karena kurang perawatan|Kerusakan parah|AC Split|Mitsubishi|Gedung Utama|Lantai 6|Zona Tengah|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
Saya laporan bahwa AC split di Gedung Utama Lantai 6 Zona Tengah mengalami kerusakan parah karena kurang perawatan sehingga aliran udara sangat lemah|Kerusakan karena kurang perawatan|Mitsubishi|Gedung Utama|Lantai 6|Zona Tengah|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
Lampu TL di gedung parkir lantai 2 zona timur mati total karena faktor lingkungan, sangat mengganggu rutinitas|Lampu TL mati|Lampu TL|Gedung Parkir|Lantai 2|Zona Timur|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
Lampu TL zona timur mati|Lampu TL mati|Lampu TL|Gedung Parkir|Lantai 2|Zona Timur|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
Lampu TL di zona timur mengalami kerusakan karena faktor lingkungan, sehingga menyebabkan lampu mati, perlu perbaikan segera|Laporan teknisi|Lampu TL|Gedung Parkir|Lantai 2|Zona Timur|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
Pemipaan air bersih bocor dan mengeluarkan suara netes yang agak berisik karena sensor error yang disebabkan oleh faktor lingkungan|Tidak ada laporan teknisi|Pemipaan Air Bersih|Gedung Parkir|Lantai 2|Zona Timur|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Pemipaan air bersih bermasalah karena sensor error|Tidak ada laporan teknisi|Pemipaan Air Bersih|Gedung Parkir|Lantai 2|Zona Timur|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Pemipaan air bersih di Gedung Parkir Lantai 2 Zona Timur mengalami masalah sensor error yang disebabkan oleh faktor lingkungan sehingga mengeluarkan suara agak berisik|Tidak ada laporan teknisi|Pemipaan Air Bersih|Gedung Parkir|Lantai 2|Zona Timur|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Exhaust Fan jebol total, aus normal, tidak bisa buat angin|Exhaust Fanrusak, aus normal|Exhaust Fan|Gedung Servis|Lantai 2|Zona Selatan|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
Exhaust Fan mati total|Exhaust Fan rusak|Exhaust Fan|Gedung Servis|Lantai 2|Zona Selatan|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
Exhaust Fan tidak berfungsi total karena aus normal, perlu perbaikan segera|Exhaust Fan rusak, perlu ganti spare part|Exhaust Fan|Gedung Servis|Lantai 2|Zona Selatan|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
Lantai granit di gedung parkir lantai 1 zona utara mengalami performa menurun akibat faktor lingkungan, terkadang netes dan agak berisik|Lantai granit mengalami kerusakan|Lantai Granit|Gedung Parkir|Lantai 1|Zona Utara|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Lantai granit rusak|Perlu perbaikan|Lantai Granit|Gedung Parkir|Lantai 1|Zona Utara|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Lantai granit di gedung parkir zona utara mengalami penurunan performa karena faktor lingkungan, perlu perbaikan segera agar tidak mengganggu rutinitas|Laporan kerusakan lantai granit|Lantai Granit|Gedung Parkir|Lantai 1|Zona Utara|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Pompa air tanah di gedung A lantai 8 zona barat mati total karena aus dan abrasi parah akibat usia pakai yang sudah lama sekali|Pompa air tanah aus dan abrasi parah|Pompa Air Tanah|Gedung A|Lantai 8|Zona Barat|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Pompa air tanah jebol|Pompa air tanah rusak parah|Pompa Air Tanah|Gedung A|Lantai 8|Zona Barat|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Pompa air tanah di gedung A lantai 8 zona barat mengalami kerusakan berat karena aus dan abrasi yang disebabkan oleh usia pakai yang sudah lama|Pompa air tanah aus dan abrasi|Pompa Air Tanah|Gedung A|Lantai 8|Zona Barat|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Speaker netes terus karena debu/kotoran, suaranya jadi agak berisik dan mengganggu rutinitas kerja|Speaker mengalami overheat karena debu/kotoran|Speaker|Gedung E|Lantai 1|Zona Barat|Sistem Telekomunikasi Gedung|Ringan|Debu/kotoran|Overheat|150000
Speaker rusak|Speaker overheat karena debu/kotoran|Speaker|Gedung E|Lantai 1|Zona Barat|Sistem Telekomunikasi Gedung|Ringan|Debu/kotoran|Overheat|150000
Speaker di Gedung E Lantai 1 Zona Barat mengalami masalah overheat karena debu/kotoran, sehingga suaranya menjadi agak berisik|Speaker memiliki masalah overheat karena debu/kotoran|Speaker|Gedung E|Lantai 1|Zona Barat|Sistem Telekomunikasi Gedung|Ringan|Debu/kotoran|Overheat|150000
Pintu kaca hidrolik yang sering bergetar berlebihan dan mengeluarkan suara berisik karena tegangan listrik tidak stabil|Pintu kaca hidrolik mengalami getaran berlebihan|Pintu Kaca Hidrolik|Gedung C|Lantai 4|Zona Utara|Arsitektur|Ringan|Tegangan tidak stabil|Getaran berlebihan|249000
Pintu kaca hidrolik netes|Pintu kaca hidrolik agak berisik|Pintu Kaca Hidrolik|Gedung C|Lantai 4|Zona Utara|Arsitektur|Ringan|Tegangan tidak stabil|Getaran berlebihan|249000
Pintu kaca hidrolik di kantor kami mengalami gangguan karena getaran berlebihan yang disebabkan oleh tegangan listrik tidak stabil|Pintu kaca hidrolik perlu perawatan rutin|Pintu Kaca Hidrolik|Gedung C|Lantai 4|Zona Utara|Arsitektur|Ringan|Tegangan tidak stabil|Getaran berlebihan|249000
APAB Dry Powder jebol total karena aus normal dan abrasi parah, sangat mengganggu operasional|Sistem Pemadam Kebakaran APAB Dry Powder rusak|APAB Dry Powder|Gedung Gedung C|Lantai 4|Zona Utara|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2335000
Pemadaman kebakaran rusak berat|APAB Dry Powder tidak berfungsi|APAB Dry Powder|Gedung Gedung C|Lantai 4|Zona Utara|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2335000
Sistem Pemadam Kebakaran APAB Dry Powder mengalami kerusakan aus normal dan abrasi, sehingga tidak dapat beroperasi dengan baik, perlu segera diperbaiki|Laporan teknisi: APAB Dry Powder rusak parah|APAB Dry Powder|Gedung Gedung C|Lantai 4|Zona Utara|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2335000
Plafon gypsum di gedung E lantai 4 zona tengah ini membuat saya agak terganggu karena bunyi abnormal yang terdengar seperti netes-netes kecil, sepertinya aus normal karena sudah lama terpasang, tapi saya tidak terlalu khawatir karena hanya sedikit mengganggu rutinitas|Tidak ada laporan teknisi|Plafon Gypsum / GRC|Gedung E|Lantai 4|Zona Tengah|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Plafon gedung E lantai 4 zona tengah bunyi abnormal|Tidak ada laporan teknisi|Plafon Gypsum / GRC|Gedung E|Lantai 4|Zona Tengah|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Plafon di gedung E lantai 4 zona tengah mengalami kerusakan berupa bunyi abnormal yang cukup mengganggu, kemungkinan besar disebabkan oleh aus normal, perlu segera diperbaiki agar tidak mengganggu aktivitas|Tidak ada laporan teknisi|Plafon Gypsum / GRC|Gedung E|Lantai 4|Zona Tengah|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Kitchen sink bocor dan tekanan air tidak stabil, sudah lama terjadi karena usia pakai yang sudah lama, membuat saya kesal dan mengganggu rutinitas harian|Tekanan air tidak stabil dan bocor|Kitchen sink|Gedung B|Lantai 10|Zona Barat|Plumbing|Sedang|Usia pakai|Tekanan tidak stabil|Rp 1829000
Kitchen sink bocor, tekanan tidak stabil|Bocor dan tekanan tidak stabil|Kitchen sink|Gedung B|Lantai 10|Zona Barat|Plumbing|Sedang|Usia pakai|Tekanan tidak stabil|Rp 1829000
Saya ingin melaporkan kerusakan pada kitchen sink di Gedung B Lantai 10 Zona Barat, yaitu tekanan air yang tidak stabil dan bocor, kemungkinan karena usia pakai yang sudah lama, sehingga perlu perbaikan segera|Kerusakan kitchen sink|Kitchen sink|Gedung B|Lantai 10|Zona Barat|Plumbing|Sedang|Usia pakai|Tekanan tidak stabil|Rp 1829000
Exhaust Fan di Gedung Servis Lantai 1 Zona Tengah bocor parah karena kurang perawatan, suaranya sangat berisik dan mengganggu rutinitas|Exhaust Fan bocor, perlu perbaikan segera|Exhaust Fan|Gedung Servis|Lantai 1|Zona Tengah|Ventilasi Sistem|Fatal|Kurang perawatan|Kebocoran|47574000
Exhaust Fan bocor, perlu perbaikan segera|Exhaust Fan rusak, butuh perbaikan|Exhaust Fan|Gedung Servis|Lantai 1|Zona Tengah|Ventilasi Sistem|Fatal|Kurang perawatan|Kebocoran|47574000
Exhaust Fan di Lantai 1 Gedung Servis Zone Tengah mengalami kebocoran yang cukup parah akibat kurangnya perawatan, sehingga menyebabkan kerusakan yang fatal|Exhaust Fan perlu perbaikan karena kebocoran|Exhaust Fan|Gedung Servis|Lantai 1|Zona Tengah|Ventilasi Sistem|Fatal|Kurang perawatan|Kebocoran|47574000
