input_teks,kategori_aset,severity,root_cause,tindakan
"Panel listrik utama bunyi aneh, kayak ada percikan. Breaker utama udah trip. Kabel power longgar di terminal, udah dikencengin dan dites aman.",Kelistrikan & Panel,Kritis,Koneksi Longgar,Pengencangan Komponen
"Printer industri buat label error terus, gak mau ngeprint. Drivernya corrupt, udah di-install ulang dan firmware di-update.",Peralatan Produksi,Sedang,Software/Driver Rusak,Pembaruan Software/Firmware
"Sistem hidrolik press kok gerakannya lambat banget ya? Level oli hidrolik kurang, udah ditambah sesuai spesifikasi.",Sistem Hidrolik,Rendah,Level Oli Rendah,Penambahan Cairan
"Woy, AC ruang server panas banget nih! Udah dicek teknisi, ternyata kompresornya mati total, langsung diganti baru biar aman.",HVAC,Kritis,Kompresor Rusak,Penggantian Komponen
"Pompa air bawah tanah kita kok suaranya kasar banget ya, kayak ada yg aus gitu. Teknisi bilang bearingnya udah minta ganti, lagi dipesen.",Kelistrikan & Pompa,Sedang,Bearing Aus,Penggantian Bearing
"Conveyor belt di line 3 mendadak macet, barang numpuk semua! Ternyata ada barang nyangkut, udah dibersihin dan dites jalan lagi.",Mekanikal,Tinggi,Benda Asing Tersangkut,Pembersihan Mekanis
"Genset utama gak mau nyala padahal listrik mati. Dicek businya kotor banget, udah dibersihin dan diganti yg rusak, sekarang normal lagi.",Kelistrikan & Genset,Tinggi,Busi Kotor/Rusak,Pembersihan & Penggantian Busi
"Kompresor udara di workshop berisik banget dan tekanannya turun drastis. Filter udaranya kotor parah, langsung diganti dan dites.",Mekanikal & Pneumatik,Sedang,Filter Udara Kotor,Penggantian Filter
"Motor listrik di mesin pengaduk sering trip, padahal beban standar. Teknisi bilang ada masalah di overload relay, udah diganti.",Kelistrikan & Produksi,Tinggi,Overload Relay Malfungsi,Penggantian Komponen
"Valve hidrolik di mesin press bocor halus, lantai jadi licin. Seal kit-nya udah getas, langsung diganti dan kebocoran stop.",Hidrolik,Rendah,Seal Rusak/Getas,Penggantian Seal
"Panel kontrol mesin packaging tiba-tiba blank, gak ada indikator nyala. Ternyata modul PLC-nya error, udah dipesen dan nunggu penggantian.",Otomasi & Kelistrikan,Kritis,Modul PLC Rusak,Penggantian Modul
"Exhaust fan di ruang produksi suaranya aneh dan muternya pelan. Setelah dicek, motornya kotor dan butuh pelumasan ulang, udah beres.",HVAC,Sedang,Motor Macet/Kotor,Pembersihan & Pelumasan
"Chiller di gudang penyimpanan suhunya naik terus, bahaya buat produk! Freonnya kurang banyak, udah ditambah dan sistem divakum ulang.",HVAC,Kritis,Refrigeran Kurang,Pengisian Refrigeran
"Gearbox di mesin cutting suaranya kasar banget, getarannya parah. Pelumasnya udah hitam dan kotor, langsung dikuras dan diisi baru.",Mekanikal,Tinggi,Pelumas Kotor/Habis,Penggantian Pelumas
"Sensor proximity di line perakitan gak deteksi barang, produksi jadi mandek. Ternyata kalibrasinya bergeser, udah di-adjust ulang.",Otomasi,Kritis,Kalibrasi Bergeser,Kalibrasi Sensor
"Printer label di gudang error mulu, labelnya gak keluar rata. Teknisi nemu nozzle-nya mampet, udah dibersihin pake cairan khusus.",Produksi & Otomasi,Sedang,Nozzle Tersumbat,Pembersihan Nozzle
"Pipa air bersih di area cuci bocor kecil, air netes ke lantai. Cuma sambungannya yg longgar, udah dikencengin pake kunci.",Utilitas,Rendah,Sambungan Longgar,Pengencangan Sambungan
"Alarm kebakaran di lantai 2 sering bunyi sendiri padahal gak ada apa-apa. Sensor asapnya kotor banyak debu, udah dibersihin.",Keamanan,Sedang,Sensor Kotor,Pembersihan Sensor
"AC di ruang server panas bgt, mati total. Ternyata freon abis bocor halus di pipa, udah diisi ulang dan las pipa yg retak.",HVAC,Tinggi,Kebocoran Refrigeran,Pengisian Ulang & Perbaikan Pipa
"Pompa air di gudang nggak mau nyala. Dicek, ternyata kapasitornya meledak, udah diganti kapasitor baru.",Kelistrikan & Pompa,Sedang,Kapasitor Rusak,Penggantian Komponen
"Conveyor belt di lini 3 macet, produk numpuk. Bantalan rollernya aus parah, udah diganti semua.",Mekanikal,Tinggi,Bantalan Aus,Penggantian Komponen
"Genset utama mati mendadak pas listrik mati. Filter solarnya kotor bgt, udah diganti.",Energi,Kritis,Filter Bahan Bakar Kotor,Penggantian Filter
"Kompresor udara berisik banget dan tekanan turun. Katup pelepasnya bocor, udah diganti sealnya.",Mekanikal,Sedang,Kebocoran Katup,Penggantian Seal
"Motor listrik fan exhaust di dapur bau gosong. Overload karena debu tebal, udah dibersihin dan diservis.",Kelistrikan & Pompa,Sedang,Overload & Kotor,Pembersihan & Servis
"Katup pipa air panas bocor kecil, air netes terus. Sealnya udah keras, diganti seal baru langsung beres.",Mekanikal,Rendah,Seal Aus,Penggantian Seal
"Panel listrik utama di lantai 2 korslet, listrik mati sebagian. Kabel utama kendur, udah dikencengin semua.",Kelistrikan & Pompa,Tinggi,Koneksi Longgar,Pengencangan Koneksi
"Forklift no. 5 mogok di tengah jalan, nggak bisa maju mundur. Baterai soak total, udah diganti baterai baru.",Peralatan Angkut,Sedang,Baterai Rusak,Penggantian Baterai
"Boiler utama tekanan nggak stabil, bahaya ini! Sensor tekanan error, udah diganti dan kalibrasi ulang.",Energi,Kritis,Sensor Rusak,Penggantian & Kalibrasi Sensor
"Chiller di rooftop nggak dingin, suhu ruangan naik terus. Kompresor macet, butuh perbaikan besar.",HVAC,Tinggi,Kompresor Rusak,Perbaikan Kompresor
"Mesin press no. 2 hasil cetakannya miring terus, produk reject banyak. Kalibrasi platnya melenceng, udah disetel ulang.",Mesin Produksi,Sedang,Kalibrasi Melenceng,Kalibrasi Ulang
"Robot arm di lini A gerakannya nggak presisi lagi, sering nabrak. Encoder motornya kotor, udah dibersihin dan setting ulang.",Otomasi,Tinggi,Encoder Kotor,Pembersihan & Penyetelan
"Pompa sirkulasi kolam filter airnya buntu, airnya ijo. Filter udah dibersihin total, sekarang lancar lagi.",Kelistrikan & Pompa,Rendah,Filter Tersumbat,Pembersihan Filter
"Pipa PDAM utama depan gedung bocor besar! Air muncrat kemana-mana. Ada retakan di sambungan, udah diperbaiki & di-seal ulang.",Infrastruktur,Kritis,Retakan Pipa,Perbaikan Sambungan Pipa
"AC di ruang server kok panas banget ya? Udah dicek, ternyata filter kotor parah sama refrigerant kurang, udah dibersihin filter sama nambah freon.",HVAC,Sedang,Filter Kotor & Refrigerant Kurang,Pembersihan Filter & Penambahan Refrigerant
"Waduh, pompa air di sumur bor mati total! Gak keluar air sama sekali. Setelah diperiksa, kapasitornya meledak dan motornya bau gosong, udah diganti kapasitor baru dan motor digulung ulang.",Kelistrikan & Pompa,Tinggi,Kapasitor Rusak & Motor Terbakar,Penggantian Komponen & Perbaikan Motor
"Laporan rutin: Genset unit 3 ada bunyi aneh. Suara kasar dari engine, dicek ternyata bearing crankshaft mulai aus, perlu penggantian. Udah dijadwalkan ganti minggu depan.",Power Generator,Sedang,Bearing Aus,Penjadwalan Penggantian Komponen
"Pak, conveyor belt produksi 1 berhenti mendadak! Barang numpuk semua nih. Ternyata motor penggerak kelebihan beban terus trip, udah direset dan cek alignment belt, aman.",Sistem Konveyor,Tinggi,Overload Motor & Trip,Reset Sistem & Pengecekan Alignment
"Kompresor udara utama tekanan drop terus. Setelah investigasi, ada kebocoran parah di seal piston dan klep buang macet, udah diganti seal kit dan klep dibersihkan.",Sistem Udara Bertekanan,Sedang,Kebocoran Seal & Klep Macet,Penggantian Seal & Pembersihan Klep
"Motor listrik di mixer 2 panas bgt, ampernya tinggi. Dicek ternyata gulungan stator mulai short, udah diisolasi ulang beberapa bagian yg parah, tapi rekomendasi ganti baru.",Kelistrikan & Motor,Tinggi,Gulungan Stator Rusak,Isolasi Ulang & Rekomendasi Penggantian
"Kenapa sih AC sentral di lantai 3 nggak dingin-dingin?! Panas banget kerjanya. Ternyata ada masalah di damper distribusi udara yang macet, udah dilumasi dan dikalibrasi ulang.",HVAC,Sedang,Damper Macet,Pelumasan & Kalibrasi
"Ada rembesan air di jalur pipa utama di area gudang. Setelah di cek, ada retakan halus di sambungan elbow PVC, udah ditambal pakai lem khusus dan diperkuat klem.",Sistem Perpipaan,Rendah,Retakan Sambungan Pipa,Penambalan & Penguatan
"Panel listrik utama di gedung B korslet parah, ada percikan api! Langsung dimatikan. Penyebabnya kabel utama ke fuse holder terbakar, udah diganti kabel dan fuse baru yang sesuai spek.",Kelistrikan,Kritis,Korsleting Kabel Utama,Penggantian Kabel & Fuse
"Forklift no. 5 kok jalannya tersendat-sendat ya? Susah banget dipake. Ternyata filter bahan bakar kotor banget dan injektor mampet, udah dibersihkan dan diganti filter.",Kendaraan Industri,Sedang,Filter Bahan Bakar Kotor & Injektor Mampet,Pembersihan & Penggantian Filter
"Mesin CNC produksi unit A error terus, hasil potongannya gak presisi. Dicek ternyata motor servo sumbu X mulai oleng, udah diganti dan kalibrasi ulang posisi.",Mesin Produksi,Tinggi,Motor Servo Rusak,Penggantian Komponen & Kalibrasi
"Pompa submersible di sumur kedua mati total, gak ada respon. Dicek pakai tester, kabel power bawah putus karena gesekan, udah ditarik dan diganti kabel baru yg lebih kuat.",Kelistrikan & Pompa,Tinggi,Kabel Power Putus,Penggantian Kabel
"Exhaust fan di dapur berisik banget, kayak mau copot. Pas dicek, bearing motor oblak parah, udah diganti bearing baru dan balancing kipas, suara normal lagi.",HVAC,Sedang,Bearing Aus/Oblak,Penggantian Bearing & Balancing
"Boiler unit 1 tekanan uapnya tidak stabil, sering overshooting. Setelah diperiksa, pressure relief valve macet dan sensor tekanan error, udah diganti kedua komponen dan dites ulang.",Sistem Pemanas,Kritis,Pressure Relief Valve Macet & Sensor Rusak,Penggantian Komponen & Pengujian
"Internet di lantai 5 mati total nih, gak bisa akses apapun. Dicek, ternyata switch jaringan utama di ruang server hang, udah di-reboot dan cek kabel, koneksi normal lagi.",Jaringan & IT,Rendah,Switch Jaringan Hang,Reboot Perangkat & Pengecekan Kabel
"Aduh AC di ruang meeting 3 panas banget nih, bikin pusing! Setelah dicek, ternyata freonnya kurang dan ada kebocoran halus di pipa, udah diisi ulang dan ditambal.",HVAC,Sedang,Kebocoran Refrigeran,Pengisian Ulang & Perbaikan Pipa
"Woy, pompa air di area produksi kok mati total? Produksi bisa macet nih! Ternyata motornya kebakar, ada bau gosong kuat, langsung ganti motor baru.",Kelistrikan & Pompa,Kritis,Kerusakan Motor Listrik,Penggantian Komponen
"Pak, genset cadangan kayaknya perlu di cek deh, suaranya agak aneh. Hasil pengecekan, filter oli udah kotor banget, langsung diganti dan level oli disesuaikan.",Genset,Rendah,Filter Kotor,Penggantian Filter
"Gila, conveyor di jalur 2 macet parah, barang numpuk semua! Setelah diperiksa, belt-nya melar dan udah aus, diganti baru biar kuat lagi.",Sistem Konveyor,Tinggi,Belt Aus/Melar,Penggantian Belt
"Laporan, kompresor udara di workshop tekanan turun drastis. Indikasi kebocoran pada seal katup, sudah dilakukan penggantian seal dan kalibrasi ulang.",Kompresor Udara,Sedang,Kerusakan Seal/Katup,Penggantian Seal
"Motor di mesin pengaduk berisik banget, kayak mau meledak! Ternyata bearingnya rusak parah, udah diganti bearing baru dan dilumasi.",Motor Listrik,Tinggi,Kerusakan Bearing,Penggantian Bearing
"Ada rembesan air di pipa dekat gudang B, kecil sih tapi takut nambah gede. Setelah diperiksa, sambungan pipa kendor, udah dikencangkan dan dicek ulang.",Sistem Perpipaan,Rendah,Sambungan Kendor,Pengencangan Sambungan
"Listrik di lantai 3 mati total, parah banget! MCP trip karena beban berlebih, udah di-reset dan dicek kapasitasnya.",Sistem Kelistrikan,Tinggi,Overload Listrik,Reset & Verifikasi Beban
"Boiler unit 1 suhu tidak stabil, ada fluktuasi tekanan. Sensor suhu malfunctioning, sudah diganti sensor baru dan dilakukan kalibrasi ulang.",Boiler,Sedang,Kerusakan Sensor,Penggantian Sensor
"Forklift kok jalannya tersendat-sendat sih, susah banget buat operasional. Setelah dicek, filter bahan bakar kotor, udah diganti dan dites jalan lancar.",Kendaraan Industri,Sedang,Filter Bahan Bakar Kotor,Penggantian Filter
"Ventilasi di ruang produksi kok kurang narik ya udaranya, jadi pengap. Ternyata baling-balingnya kotor banget banyak debu, udah dibersihin total.",Sistem Ventilasi,Rendah,Baling-baling Kotor,Pembersihan Komponen
"AC Sentral di gedung barat mati total, panas banget di kantor! Kompresornya overheat, ada masalah di kapasitor, udah diganti kapasitornya dan sistem dites lagi.",HVAC,Kritis,Kerusakan Kompresor/Kapasitor,Penggantian Komponen
"Pompa kimia di unit pencampuran bocor halus dari seal. Seal mekanis aus karena korosi, udah diganti seal baru dan diuji coba.",Pompa Kimia,Sedang,Seal Aus/Korosi,Penggantian Seal
"Panel kontrol mesin C error terus, gak bisa start produksi! Ada korsleting di wiring internal, udah diperbaiki sambungan kabelnya dan dites ulang.",Panel Kontrol,Tinggi,Korsleting Wiring,Perbaikan Wiring
"Baterai forklift elektrik drop cepet banget, ga bisa dipake lama. Sel baterai ada yg rusak, udah diganti sel yg bermasalah dan dicas penuh.",Kendaraan Industri,Sedang,Kerusakan Sel Baterai,Penggantian Sel Baterai
"Woy, ini mesin conveyor belt kok macet-macet lagi sih? Barang numpuk semua! Ternyata ada bearing yg udah oblak, langsung ganti baru.",Mekanikal,Tinggi,Bearing Aus,Penggantian Komponen
"Pak, pompa air di area produksi 2 suaranya kasar banget, kayak mau jebol. Cek ternyata ada kavitasi parah di impeler, sudah dilakukan priming ulang dan cek level air.",Kelistrikan & Pompa,Sedang,Kavitasi Pompa,Perbaikan Sistem Pompa
"Genset kok ga mau nyala pas blackout semalem? Kacau banget! Setelah dicek, fuel filternya mampet total, udah diganti filter baru dan bleeding.",Kelistrikan & Genset,Kritis,Filter Bahan Bakar Tersumbat,Penggantian Filter
"Kompresor udara di workshop kok press-nya drop terus ya? Padahal belum lama diservis. Ketemu ada kebocoran di sambungan pipa, udah dikencengin pake seal tape.",Mekanikal,Sedang,Kebocoran Pipa,Perbaikan Kebocoran
"AC Sentral di lantai 3 nggak dingin sama sekali, panas banget ini! Cek freon kurang banyak, ada indikasi kebocoran halus di evaporator, udah diisi freon dan cek tekanan.",HVAC,Tinggi,Kekurangan Refrigeran,Pengisian Refrigeran
"Motor listrik penggerak mixer suaranya aneh, kayak ada gesekan. Dicek ternyata couplingnya longgar, udah dikencengin lagi dan dites, aman.",Kelistrikan & Motor,Rendah,Coupling Longgar,Penyesuaian Komponen
"Alarm tekanan tinggi di boiler nyala terus, bahaya nih! Sensor tekanan utama ternyata ngaco, udah diganti baru dan kalibrasi ulang sistem.",Boiler & Tekanan,Kritis,Sensor Rusak,Penggantian Sensor
"Lampu indikator di panel distribusi area gudang mati satu. Ternyata fuse-nya putus akibat overcurrent, sudah diganti dengan fuse yg sesuai.",Kelistrikan,Rendah,Fuse Putus,Penggantian Fuse
"Mesin CNC kok kadang geraknya nggak presisi ya? Produk reject terus! Setelah diagnosa, ada backlash di screw ball, perlu diatur ulang.",Mesin Produksi,Tinggi,Backlash Berlebih,Kalibrasi Mesin
"Robot lengan di lini perakitan gerakannya lambat banget, bikin delay produksi. Servo motor salah satu sumbu udah lemah, direkomendasikan penggantian unit.",Otomasi & Robotik,Sedang,Motor Servo Lemah,Penggantian Komponen
"Forklift nomor 3 remnya blong! Hampir nabrak tadi. Kampas rem udah tipis banget, perlu diganti secepatnya.",Alat Berat,Kritis,Kampas Rem Aus,Penggantian Komponen
"Ada bau gosong di area panel kontrol utama, takut korslet nih! Dicek, ternyata ada kabel isolasi terkelupas di terminal, udah diperbaiki dan diisolasi ulang.",Kelistrikan,Tinggi,Isolasi Kabel Rusak,Perbaikan Kabel
"Pompa vakum di lab kok hisapannya lemah banget ya? Setelah dicek, ada seal yang udah keras dan retak, udah diganti baru.",Peralatan Lab,Sedang,Seal Rusak,Penggantian Seal
"Pintu otomatis di loading dock kadang nggak mau nutup rapat. Sensor infra merahnya kotor banget, udah dibersihin dan dites, berfungsi normal.",Otomasi & Pintu,Rendah,Sensor Kotor,Pembersihan Sensor
"Sistem pendingin mesin press sering overheat, produksi jadi terganggu. Radiatornya banyak kotoran dan mampet, udah dibersihin total dan isi ulang coolant.",Sistem Pendingin,Tinggi,Radiator Tersumbat,Pembersihan Sistem
"Duh, AC sentral di lantai 3 kok tiba-tiba nggak dingin sama sekali ya? Udah dicek teknisi, katanya freonnya habis total gara-gara ada kebocoran kecil di pipa. Sekarang lagi diisi ulang dan bocorannya udah ditambal.",HVAC,Tinggi,Kebocoran Refrigeran,Perbaikan Pipa & Pengisian Freon
"Pompa air di area produksi sering mati mendadak, terus nyala lagi. Setelah diinspeksi, ternyata ada masalah di kapasitor startingnya, udah diganti yg baru sekarang stabil.",Kelistrikan & Pompa,Sedang,Kerusakan Kapasitor,Penggantian Komponen
"Gila! Genset kok mati total pas mati lampu semalem? Mana banyak kerjaan urgent! Ternyata filter solarnya kotor parah, udah dibersihin sama teknisi dan dites nyala lagi.",Genset & Power,Kritis,Filter Bahan Bakar Tersumbat,Pembersihan Filter
"Conveyor belt jalur A macet lagi, barang numpuk di ujung. Setelah dicek, ada roller yg aus parah, udah diganti baru dan sekarang lancar jaya.",Conveyor & Material Handling,Sedang,Roller Aus,Penggantian Komponen
"Kompresor udara di bengkel suaranya kok jadi aneh ya, kayak ada gesekan. Teknisi udah cek, ternyata bearing motornya mulai oblak, udah diganti sama yg baru biar aman.",Pneumatik & Hidrolik,Sedang,Kerusakan Bearing,Penggantian Komponen
"Motor listrik di mesin extruder overheat, bau gosong dikit. Dicek termal, lilitan ada yg short. Sudah diganti motor baru, sekarang suhu normal.",Motor & Drive,Tinggi,Kerusakan Lilitan Motor,Penggantian Komponen
"Tolong dong pintu otomatis di pintu masuk utama kok macet nggak mau nutup? Ini bahaya banget! Sensornya kotor banget banyak debu, udah dibersihin dan disemprot, sekarang normal lagi.",Otomasi & Akses,Kritis,Sensor Kotor/Malfunction,Pembersihan Sensor
"Forklift nomor 3 remnya blong! Hampir nabrak tadi. Kampas remnya udah tipis banget, perlu diganti. Udah dipesenin kampas baru, sementara forklift nggak boleh dipakai.",Kendaraan Industri,Kritis,Kampas Rem Aus,Penggantian Komponen
"Sistem CCTV di gudang bagian belakang ada 2 kamera yg mati. Dicek power supplynya, ternyata ada adaptor yg rusak. Udah diganti adaptornya, sekarang semua kamera nyala lagi.",Keamanan & Monitoring,Rendah,Kerusakan Adaptor Daya,Penggantian Komponen
"Suhu server ruangan terlalu tinggi, alarm merah nyala. AC ruangan server bocor freon lagi. Udah ditambal kebocorannya dan diisi freon, suhu udah turun ke normal.",IT & Jaringan,Tinggi,Kebocoran Refrigeran,Perbaikan Pipa & Pengisian Freon
"Mesin CNC jalur 2 error terus! Produksi jadi mandek! Operator udah coba reset berkali-kali. Ternyata ada masalah di firmwarenya, udah di-update dan kalibrasi ulang, sekarang normal.",Mesin Produksi,Kritis,Bug Firmware/Software,Pembaruan Firmware & Kalibrasi
"Genset no. 1 starter motornya bunyi kasar, kadang nggak mau muter. Teknisi cek, carbon brush udah habis. Udah diganti carbon brush baru, sekarang normal startnya.",Genset & Power,Sedang,Carbon Brush Aus,Penggantian Komponen
"Pompa limbah di penampungan bau banget, kayaknya ada yg nyangkut. Ternyata banyak sampah plastik yg masuk, udah dibersihin manual dan dicek filternya.",Kelistrikan & Pompa,Sedang,Saluran Tersumbat,Pembersihan Saluran
"Internet di kantor mati total! Dari tadi pagi nggak bisa ngapa-ngapain! Router utama udah dicek, ternyata port WAN-nya rusak karena lonjakan listrik. Udah diganti router baru.",IT & Jaringan,Kritis,Kerusakan Port Jaringan,Penggantian Komponen
"AC di ruang meeting 101 udaranya kurang bersih, kayak bau apek. Filter udara udah kotor banget, banyak debu. Udah dibersihin dan disemprot cairan disinfektan. Sekarang udara segar lagi.",HVAC,Rendah,Filter Kotor,Pembersihan Filter
"Pompa air di area produksi 1 mendadak mati, padahal lagi butuh banget. Setelah dicek, overload relay trip karena ada kotoran nyangkut di impeler. Sudah dibersihkan dan reset relay, pompa normal lagi.",Pompa Air,Tinggi,Overload Mekanis,Pembersihan & Reset
"Waduh, Genset utama kok tiba-tiba mati ya? Listrik padam nih! Ternyata filter bahan bakar udah kotor banget, bikin aliran solar macet. Udah diganti filter baru, genset lgsg nyala.",Genset,Kritis,Filter Bahan Bakar Kotor,Penggantian Filter
"Conveyor belt di gudang 3 bunyi aneh, kayak mau lepas. Ada bearing yg aus di roller penahan, udah diganti baru dan pelumasan ulang. Suara normal lagi.",Conveyor Belt,Sedang,Bearing Aus,Penggantian Bearing & Pelumasan
"Kompresor udara di line pengepakan berisik banget, kayaknya ada yg longgar. Baut mounting motor longgar, getaran tinggi. Udah dikencengin semua, getaran berkurang drastis.",Kompresor,Sedang,Baut Longgar,Pengencangan Baut
"AC Sentral di lantai 5 panas banget, bikin gak nyaman kerja. Freon bocor halus di sambungan pipa, udah ditambal dan isi ulang freon. Sekarang dingin lagi.",AC Sentral,Tinggi,Kebocoran Refrigeran,Perbaikan Kebocoran & Isi Ulang
Motor listrik penggerak mixer di dapur produksi bau gosong. Ternyata gulungan motornya konslet. Perlu diganti motor baru secepatnya.,Motor Listrik,Kritis,Gulungan Motor Konslet,Penggantian Motor
"Pintu otomatis di loading dock macet, gak mau nutup. Sensor infrared kotor ketumpuk debu, udah dibersihin pake lap basah. Langsung lancar jaya.",Pintu Otomatis,Sedang,Sensor Kotor,Pembersihan Sensor
"Indikator tekanan di Boiler 2 kok gak akurat ya, sering naik turun sendiri. Pressure transmitter error, kalibrasi ulang udah dilakukan. Data sekarang stabil.",Boiler,Sedang,Sensor Error/Kalibrasi,Kalibrasi Ulang Sensor
"Forklift nomor 7 susah belok ke kanan, stirnya berat banget. Silinder hidrolik power steering bocor. Perbaikan seal kit udah dilakukan, steer enteng lagi.",Forklift,Tinggi,Kebocoran Hidrolik,Penggantian Seal Kit
"Valve pneumatic di jalur B macet, gak bisa dibuka full. Ada karat di stem valve, sudah dibersihkan dan dilumasi. Valve berfungsi normal.",Valve,Rendah,Korosi/Karat,Pembersihan & Pelumasan
"Sumpah nih, jaringan CCTV di gudang dingin mati semua! Ada power supply yg rusak di rack server. Udah diganti baru, semua kamera nyala lagi.",CCTV & Jaringan,Kritis,Kerusakan Power Supply,Penggantian Power Supply
"Heater di tangki pencampur suhu nya gak stabil. Thermostatnya rusak, gak bisa ngatur suhu. Udah diganti thermostat baru, suhu langsung stabil.",Heater,Tinggi,Kerusakan Thermostat,Penggantian Thermostat
