teks_keluhan_awam|teks_laporan_teknisi|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
Kamera CCTV merek Dahua di area Gedung Servis Lantai 3 Zona Selatan tidak bisa merekam video|Laporan teknisi menunjukkan bahwa kamera tersebut mengalami kerusakan berat karena debu/kotoran yang menyebabkan aus/abrasi, sehingga perlu diperbaiki dengan biaya yang cukup besar|Security Sistem|Berat|Debu/kotoran|Aus/abrasi|3796000
Pemadam kebakaran di Gedung C Lantai 4 Zona Selatan tidak bisa digunakan|APAR Dry Powder Stored Pressure merk import di Gedung C Lantai 4 Zona Selatan mengalami kerusakan total karena aus normal|Sistem Pemadam Kebakaran|Ringan|Aus normal|Tidak berfungsi total|278000
Pemadam kebakaran import tipe APAR Dry Powder Stored Pressure di Gedung C Lantai 4 Zona Selatan rusak total|Laporan teknisi: APAR Dry Powder Stored Pressure di Gedung C Lantai 4 Zona Selatan mengalami kerusakan total karena aus normal|Sistem Pemadam Kebakaran|Ringan|Aus normal|Tidak berfungsi total|278000
Pemadam kebakaran di area Gedung C Lantai 4 Zona Selatan tidak berfungsi karena APAR Dry Powder Stored Pressure merk import rusak|Teknisi menemukan bahwa APAR Dry Powder Stored Pressure di Gedung C Lantai 4 Zona Selatan rusak total karena aus normal|Sistem Pemadam Kebakaran|Ringan|Aus normal|Tidak berfungsi total|278000
Kamera CCTV Hikvision di Gedung D Lantai 6 Zona Barat rusak karena retak|DVR CCTV Hikvision di Gedung D Lantai 6 Zona Barat mengalami kerusakan retak karena kelembaban tinggi|Security Sistem|Sedang|Kelembaban tinggi|Retak/pecah|708000
Kamera pengawas Hikvision DVR CCTV di area Gedung D Lantai 6 Zona Barat tidak berfungsi dengan baik|Setelah inspeksi, ditemukan bahwa kelembaban tinggi menyebabkan kerusakan retak pada DVR CCTV Hikvision di Gedung D Lantai 6 Zona Barat|Security Sistem|Sedang|Kelembaban tinggi|Retak/pecah|708000
Sistem keamanan Gedung D Lantai 6 Zona Barat mengalami gangguan karena kerusakan pada kamera Hikvision DVR CCTV|Laporan teknisi menunjukkan bahwa kelembaban tinggi di Gedung D Lantai 6 Zona Barat menyebabkan kerusakan retak pada DVR CCTV Hikvision|Security Sistem|Sedang|Kelembaban tinggi|Retak/pecah|708000
Lampu LED Strip Generic di Gedung C Lantai 8 Zona Tengah tiba-tiba mati dan mengeluarkan bau terbakar|Lampu LED Strip Generic di Gedung C Lantai 8 Zona Tengah mengalami korsleting karena overload, perlu diganti|Electrical|Ringan|Overload|Korsleting|416000
Lampu LED Strip di Gedung C Lantai 8 Zona Tengah tidak menyala dan ada suara menggaruk|Lampu LED Strip Generic di Gedung C Lantai 8 Zona Tengah mengalami kerusakan karena overload, menyebabkan korsleting|Electrical|Ringan|Overload|Korsleting|416000
Lampu LED Strip Generic di kantor Gedung C Lantai 8 Zona Tengah tiba-tiba padam dan mengeluarkan asap|Laporan teknisi: Lampu LED Strip Generic di Gedung C Lantai 8 Zona Tengah mengalami korsleting akibat overload, perlu perbaikan|Electrical|Ringan|Overload|Korsleting|416000
Dinding partisi GRC import di Gedung E Lantai 6 Zona Selatan bocor|Kerusakan dinding partisi GRC import di Gedung E Lantai 6 Zona Selatan karena usia pakai, menyebabkan kebocoran|Civil|Berat|Usia pakai|Kebocoran|6283000
Dinding partisi gypsum merek import di Gedung E Lantai 6 Zona Selatan mengalami kebocoran parah|Laporan teknisi: kebocoran pada dinding partisi gypsum import di Gedung E Lantai 6 Zona Selatan disebabkan oleh usia pakai, perlu perbaikan segera|Civil|Berat|Usia pakai|Kebocoran|6283000
Gedung E Lantai 6 Zona Selatan mengalami kebocoran pada dinding partisi GRC import, perlu perbaikan segera|Tindakan perbaikan kebocoran dinding partisi GRC import di Gedung E Lantai 6 Zona Selatan dengan biaya yang cukup besar karena usia pakai|Civil|Berat|Usia pakai|Kebocoran|6283000
Atap seng generic di gedung parkir lantai 4 zona timur bocor|Kerusakan kebocoran pada atap seng generic di gedung parkir lantai 4 zona timur disebabkan oleh usia pakai, perlu perbaikan segera|Civil|Ringan|Usia pakai|Kebocoran|446000
Atap gedung parkir lantai 4 zona timur mengalami kebocoran, menggunakan atap seng dari merek generic|Laporan teknisi menunjukkan bahwa kebocoran pada atap seng generic di gedung parkir lantai 4 zona timur disebabkan oleh usia pakai yang sudah lama, perlu dilakukan perbaikan dengan biaya yang sesuai|Civil|Ringan|Usia pakai|Kebocoran|446000
Gedung parkir lantai 4 zona timur memiliki masalah kebocoran atap, atap yang dipakai adalah seng dari merek generic|Teknisi menemukan bahwa kebocoran pada atap seng generic di gedung parkir lantai 4 zona timur disebabkan oleh faktor usia pakai, sehingga perlu dilakukan perbaikan untuk menghindari kerusakan lebih lanjut dengan biaya perbaikan sebesar 446000|Civil|Ringan|Usia pakai|Kebocoran|446000
Air di Gedung E Lantai 5 Zona Timur tiba-tiba berhenti mengalir, kemungkinan besar karena Jet Pump Generic yang kita gunakan|Jet Pump Generic di Gedung E Lantai 5 Zona Timur mengalami sensor error sehingga distribusi air terhenti|Distribusi Air|Berat|Human error|Sensor error|9953000
Saya tidak bisa mendapatkan air di kantor saya di Gedung E Lantai 5 Zona Timur, mungkin ada masalah dengan Jet Pump Generic|Setelah saya investigasi, ternyata Jet Pump Generic di Gedung E Lantai 5 Zona Timur mengalami kesalahan sensor sehingga air tidak mengalir|Distribusi Air|Berat|Human error|Sensor error|9953000
Jet Pump Generic di Gedung E Lantai 5 Zona Timur tidak berfungsi dengan baik, sehingga air di gedung ini tidak mengalir dengan lancar|Setelah dilakukan pemeriksaan, ditemukan bahwa Jet Pump Generic di Gedung E Lantai 5 Zona Timur mengalami sensor error yang disebabkan oleh human error|Distribusi Air|Berat|Human error|Sensor error|9953000
Kamera CCTV Axis di Gedung B Lantai 4 Zona Selatan getar terus|Getaran berlebihan pada kamera CCTV Axis di Gedung B Lantai 4 Zona Selatan karena overload|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
Kamera pengawas di Gedung B Lantai 4 Zona Selatan merek Axis tidak stabil|Kamera CCTV Axis di Gedung B Lantai 4 Zona Selatan mengalami getaran berlebihan akibat overload|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
Kamera Axis di lantai 4 Gedung B Zona Selatan sering bergetar|Laporan teknisi: Kamera CCTV Axis di Gedung B Lantai 4 Zona Selatan mengalami kerusakan karena getaran berlebihan akibat overload|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
AC Split Panasonic di Gedung Utama Lantai 7 Zona Utara tidak mau dingin|Setelah pengecekan, ditemukan bahwa AC Split Panasonic di Gedung Utama Lantai 7 Zona Utara mengalami aliran lemah karena kurang perawatan|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
AC Split merek Panasonic di lantai 7 Gedung Utama Zona Utara tidak berfungsi dengan baik|Pengecekan menunjukkan bahwa AC Split Panasonic di Gedung Utama Lantai 7 Zona Utara mengalami masalah aliran lemah akibat kurang perawatan, sehingga perlu perbaikan|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
Laporan kerusakan AC Split Panasonic Gedung Utama Lantai 7 Zona Utara, aliran udara lemah|Teknisi menemukan bahwa AC Split Panasonic di Gedung Utama Lantai 7 Zona Utara memiliki masalah aliran lemah karena kurang perawatan, perlu dilakukan perbaikan segera|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
Lampu di Gedung Parkir Lantai 5 Zona Timur mati, kemungkinan karena kabel sistem instalasi kabel merek import yang rusak|Lampu merek import di Gedung Parkir Lantai 5 Zona Timur mati karena faktor lingkungan yang mempengaruhi sistem instalasi kabel, perlu perbaikan segera|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
Lampu di area parkir lantai 5 zona timur tiba-tiba mati, kemungkinan disebabkan oleh masalah pada sistem instalasi kabel merek import|Teknisi menemukan bahwa lampu mati di Gedung Parkir Lantai 5 Zona Timur disebabkan oleh kerusakan pada sistem instalasi kabel merek import, perlu diganti dengan yang baru|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
Gedung Parkir Lantai 5 Zona Timur mengalami masalah dengan lampu yang tidak menyala, kemungkinan karena sistem instalasi kabel merek import yang tidak berfungsi|Laporan teknisi menunjukkan bahwa lampu di Gedung Parkir Lantai 5 Zona Timur mati karena faktor lingkungan yang mempengaruhi sistem instalasi kabel merek import, sehingga perlu perbaikan|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
UPS Import di Gedung A Lantai 10 Zona Tengah tiba-tiba mati dan tidak bisa dinyalakan kembali|Setelah melakukan inspeksi, ditemukan bahwa UPS Import tipe Uninterruptible Power Supply di Gedung A Lantai 10 Zona Tengah mengalami kerusakan karena retak pada komponen internal|Electrical|Sedang|Kualitas material|Retak/pecah|1830000
UPS Uninterruptible Power Supply merek Import di Gedung A Lantai 10 Zona Tengah mengalami gangguan sehingga tidak bisa menyimpan daya dengan baik|Laporan teknisi menunjukkan bahwa kerusakan pada UPS Import di Gedung A Lantai 10 Zona Tengah disebabkan oleh kualitas material yang kurang baik, sehingga mengakibatkan retak pada komponen internal|Electrical|Sedang|Kualitas material|Retak/pecah|1830000
Karyawan melaporkan bahwa UPS Import tipe Uninterruptible Power Supply di Gedung A Lantai 10 Zona Tengah tidak berfungsi dengan baik dan perlu segera diperbaiki|Teknisi menemukan bahwa UPS Import di Gedung A Lantai 10 Zona Tengah mengalami kerusakan retak pada komponen internal karena kualitas material yang tidak memadai, sehingga memerlukan biaya perbaikan sebesar 1830000|Electrical|Sedang|Kualitas material|Retak/pecah|1830000
AC Split Sharp di Gedung Utama Lantai 19 Zona Selatan tidak dingin|Setelah inspeksi, ditemukan bahwa AC Split Sharp di Gedung Utama Lantai 19 Zona Selatan mengalami aus/abrasi karena usia pakai, sehingga perlu perbaikan|Mechanical|Ringan|Usia pakai|Aus/abrasi|193000
AC Sharp di kantor lantai 19 zona selatan bising dan tidak mengeluarkan udara dingin|Setelah melakukan pengecekan, ditemukan bahwa AC Split Sharp di Gedung Utama Lantai 19 Zona Selatan mengalami kerusakan aus/abrasi karena usia pakai yang sudah lama, sehingga memerlukan perbaikan segera|Mechanical|Ringan|Usia pakai|Aus/abrasi|193000
Saya mengalami masalah dengan AC Split Sharp di Gedung Utama Lantai 19 Zona Selatan, karena tidak mengeluarkan udara yang cukup dingin|Setelah melakukan analisis, teknisi menemukan bahwa AC Split Sharp di Gedung Utama Lantai 19 Zona Selatan mengalami aus/abrasi karena faktor usia pakai, sehingga perlu dilakukan perbaikan untuk mengembalikan kinerjanya|Mechanical|Ringan|Usia pakai|Aus/abrasi|193000
Kran air Wasser di Gedung Parkir Lantai 4 Zona Selatan bocor dan tidak bisa dimatikan|Kran air Wasser di Gedung Parkir Lantai 4 Zona Selatan mengalami sensor error sehingga tidak bisa dimatikan secara otomatis|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Kran air Wasser di Gedung Parkir Lantai 4 Zona Selatan tiba-tiba tidak mengeluarkan air|Setelah dicek, kran air Wasser di Gedung Parkir Lantai 4 Zona Selatan memiliki masalah sensor error yang disebabkan oleh faktor lingkungan|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Kran air Wasser di Gedung Parkir Lantai 4 Zona Selatan mengalami kerusakan sehingga air tidak mengalir dengan lancar|Kerusakan pada kran air Wasser di Gedung Parkir Lantai 4 Zona Selatan disebabkan oleh sensor error yang dipengaruhi oleh faktor lingkungan, sehingga memerlukan perbaikan segera|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Kipas exhaust KDK di Gedung E Lantai 5 Zona Utara tidak berfungsi sama sekali|Exhaust fan KDK di Gedung E Lantai 5 Zona Utara mengalami kerusakan total karena aus normal|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
Exhaust fan KDK di lantai 5 Gedung E Zona Utara sudah tidak berputar|Laporan teknisi: exhaust fan KDK di Gedung E Lantai 5 Zona Utara tidak berfungsi karena aus normal|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
Di Gedung E Lantai 5 Zona Utara, kipas exhaust KDK sudah tidak bisa digunakan|Kerusakan total pada exhaust fan KDK di Gedung E Lantai 5 Zona Utara disebabkan oleh aus normal sehingga tidak berfungsi|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
FCU merek lokal di Gedung Servis Lantai 2 Zona Selatan tiba-tiba mati|FCU tipe FCU merek lokal di Gedung Servis Lantai 2 Zona Selatan mengalami mati mendadak karena overload|Mechanical|Ringan|Overload|Mati mendadak|446000
FCU di Gedung Servis Lantai 2 Zona Selatan tidak bisa digunakan karena terlalu berat|Setelah dilakukan pengecekan, FCU merek lokal tipe FCU di Gedung Servis Lantai 2 Zona Selatan ditemukan mengalami kerusakan karena overload|Mechanical|Ringan|Overload|Mati mendadak|446000
Laporan kerusakan FCU merek lokal tipe FCU di Gedung Servis Lantai 2 Zona Selatan karena beban yang terlalu berat|Teknisi menemukan bahwa FCU merek lokal tipe FCU di Gedung Servis Lantai 2 Zona Selatan mengalami mati mendadak karena overload, perlu dilakukan perbaikan segera|Mechanical|Ringan|Overload|Mati mendadak|446000
Layar MDP Import di Gedung A Lantai 11 Zona Barat rusak parah|Kerusakan pada layar MDP Import di Gedung A Lantai 11 Zona Barat disebabkan korosi, sehingga tampilan menjadi rusak|Electrical|Sedang|Korosi|Tampilan rusak|1882000
Lampu di layar MDP Import di Gedung A Lantai 11 Zona Barat tidak menyala|Setelah pemeriksaan, ditemukan bahwa korosi pada komponen MDP Import di Gedung A Lantai 11 Zona Barat menyebabkan tampilan layar rusak|Electrical|Sedang|Korosi|Tampilan rusak|1882000
Tampilan layar MDP Import di Gedung A Lantai 11 Zona Barat menjadi buram|Ditemukan bahwa korosi pada bagian dalam MDP Import di Gedung A Lantai 11 Zona Barat menyebabkan kerusakan pada tampilan layar, sehingga perlu perbaikan|Electrical|Sedang|Korosi|Tampilan rusak|1882000
Lantai karpet lokal di Gedung Servis Lantai 3 Zona Utara terasa kasar dan kusam|Lantai karpet lokal di Gedung Servis Lantai 3 Zona Utara mengalami penurunan performa akibat faktor lingkungan|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Karpet di Gedung Servis Lantai 3 Zona Utara terlihat kotor dan kusam, mungkin karena kurangnya perawatan|Lantai karpet lokal di Gedung Servis Lantai 3 Zona Utara memerlukan perawatan rutin untuk menghindari penurunan performa|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Lantai karpet lokal di Gedung Servis Lantai 3 Zona Utara tidak lagi terasa nyaman diinjak, mungkin karena sudah lama tidak dibersihkan|Lantai karpet lokal di Gedung Servis Lantai 3 Zona Utara memerlukan pembersihan dan perawatan untuk mengembalikan performanya|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Pompa boster Grundfos di Gedung D Lantai 6 Zona Utara macet dan tidak berfungsi|Pompa boster Grundfos di Gedung D Lantai 6 Zona Utara mengalami kerusakan karena korosi yang menyebabkan macet, perlu perbaikan segera|Mechanical|Berat|Korosi|Macet/tersumbat|8156000
Pompa Grundfos di lantai 6 Gedung D Zona Utara tidak beroperasi dengan baik karena terjadi kebocoran|Setelah melakukan inspeksi, ditemukan bahwa pompa boster Grundfos di Gedung D Lantai 6 Zona Utara mengalami kerusakan akibat korosi yang menyebabkan kebocoran, sehingga perlu dilakukan perbaikan|Mechanical|Berat|Korosi|Macet/tersumbat|8156000
Pompa boster Grundfos yang terletak di Gedung D Lantai 6 Zona Utara mengalami gangguan karena saluran masuk yang tersumbat|Setelah melakukan analisis, ditemukan bahwa pompa boster Grundfos di Gedung D Lantai 6 Zona Utara mengalami kerusakan karena korosi yang menyebabkan saluran masuk tersumbat, sehingga perlu dilakukan perbaikan dengan biaya yang cukup besar|Mechanical|Berat|Korosi|Macet/tersumbat|8156000
Wastafel American Standard di Gedung A Lantai 4 Zona Tengah tiba-tiba bocor dan tidak bisa digunakan|Koneksi pipa wastafel American Standard di Gedung A Lantai 4 Zona Tengah putus karena overload, perlu perbaikan segera|Plumbing|Fatal|Overload|Koneksi terputus|18424000
Wastafel di kantor Gedung A Lantai 4 Zona Tengah mengalami kerusakan, tidak bisa digunakan karena koneksi terputus, merek American Standard tipe wastafel|Laporan teknisi: kerusakan pada koneksi pipa wastafel American Standard di Gedung A Lantai 4 Zona Tengah disebabkan oleh overload, perlu penggantian komponen|Plumbing|Fatal|Overload|Koneksi terputus|18424000
Karyawan Gedung A Lantai 4 Zona Tengah mengeluh karena wastafel American Standard di zona tengah tidak berfungsi dengan baik, koneksi terputus dan perlu perbaikan segera|Teknisi menemukan bahwa koneksi pipa wastafel American Standard di Gedung A Lantai 4 Zona Tengah mengalami kerusakan karena overload, sehingga perlu dilakukan perbaikan dengan biaya yang cukup besar|Plumbing|Fatal|Overload|Koneksi terputus|18424000
Layar monitor Generic di Gedung B Lantai 1 Zona Barat mengeluarkan suara aneh|Layar monitor Generic di Gedung B Lantai 1 Zona Barat mengalami kerusakan karena debu dan kotoran yang menyebabkan bunyi abnormal|Sistem Telekomunikasi Gedung|Fatal|Debu/kotoran|Bunyi abnormal|43682000
Layar Generic di Gedung B Lantai 1 Zona Barat mengeluarkan suara berdengung yang mengganggu|Layar Generic di Gedung B Lantai 1 Zona Barat harus dibersihkan karena debu dan kotoran yang menyebabkan kerusakan|Sistem Telekomunikasi Gedung|Fatal|Debu/kotoran|Bunyi abnormal|43682000
Monitor Generic di Gedung B Lantai 1 Zona Barat tiba-tiba mengeluarkan suara gemuruh|Monitor Generic di Gedung B Lantai 1 Zona Barat perlu diperiksa karena adanya debu dan kotoran yang menyebabkan bunyi abnormal|Sistem Telekomunikasi Gedung|Fatal|Debu/kotoran|Bunyi abnormal|43682000
Plafon Gypsum di Gedung Utama Lantai 2 Zona Selatan bermasalah, tidak bisa mendeteksi suhu dengan benar|Laporan teknisi: Plafon Gypsum Generic di Gedung Utama Lantai 2 Zona Selatan mengalami sensor error karena debu/kotoran, perlu dibersihkan dan diperiksa|Arsitektur|Berat|Debu/kotoran|Sensor error|2569000
Plafon GRC di Gedung Utama Lantai 2 Zona Selatan tidak berfungsi dengan baik, kemungkinan karena kotoran|Laporan teknisi: Pemeriksaan Plafon GRC Generic di Gedung Utama Lantai 2 Zona Selatan menunjukkan adanya debu/kotoran yang menyebabkan sensor error, perlu perawatan segera|Arsitektur|Berat|Debu/kotoran|Sensor error|2569000
Sistem plafon di Gedung Utama Lantai 2 Zona Selatan mengalami gangguan, mungkin disebabkan oleh debu yang menumpuk di Plafon Gypsum Generic|Laporan teknisi: Setelah pemeriksaan, ditemukan bahwa Plafon Gypsum Generic di Gedung Utama Lantai 2 Zona Selatan mengalami sensor error akibat debu/kotoran, biaya perbaikan diperlukan sebesar 2569000|Arsitektur|Berat|Debu/kotoran|Sensor error|2569000
Saya merasa tidak nyaman di Gedung Parkir Lantai 2 Zona Timur karena plafon lokal di sana terasa panas|Setelah melakukan inspeksi, saya menemukan bahwa plafon lokal di Gedung Parkir Lantai 2 Zona Timur mengalami suhu tidak stabil karena kurang perawatan|Arsitektur|Sedang|Kurang perawatan|Suhu tidak stabil|354000
