teks_keluhan_awam|teks_laporan_teknisi|tipe_aset|lokasi_gedung|lokasi_lantai|lokasi_zona|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
Pintu Kaca Hidrolik Gedung D, Lantai 9, Zona Tengah rusak, tolong perbaiki|Pintu Kaca Hidrolik di Gedung D, Lantai 9, Zona Tengah mengalami kerusakan yang disebabkan oleh faktor lingkungan, perlu dilakukan perbaikan untuk mengatasi getaran berlebihan yang terjadi|Pintu Kaca Hidrolik|Gedung D|Lantai 9|Zona Tengah|Arsitektur|Sedang|Faktor lingkungan|Getaran berlebihan|1876000
AC Split di Gedung E lantai 4 zona utara nggak nyala remote nya|Laporan perbaikan AC Split LG di Gedung E lantai 4 zona utara, remote tidak berfungsi|AC Split|Gedung E|Lantai 4|Zona Utara|Mechanical|Sedang|Kelembaban tinggi|Remote tidak berfungsi|1228000
Bro, AC Split di Gedung E lantai 4 zona utara rusak parah, remotenya ga bisa dipake|Pemeriksaan AC Split LG di Gedung E lantai 4 zona utara menunjukkan kerusakan pada remote, kemungkinan akibat kelembaban tinggi|AC Split|Gedung E|Lantai 4|Zona Utara|Mechanical|Sedang|Kelembaban tinggi|Remote tidak berfungsi|1228000
AC Split LG di Gedung E lantai 4 zona utara bermasalah, remotenya ga responsif|Perbaikan AC Split di Gedung E lantai 4 zona utara, jenis kerusakan remote tidak berfungsi, biaya perbaikan sebesar Rp 1.228.000|AC Split|Gedung E|Lantai 4|Zona Utara|Mechanical|Sedang|Kelembaban tinggi|Remote tidak berfungsi|1228000
Pompa Transfer di Gedung C Lantai 1 Zona Barat rusak berat banget|Pompa Transfer Grundfos di Gedung C, Lantai 1, Zona Barat mengalami kerusakan berat akibat korsleting|Pompa Transfer|Gedung C|Lantai 1|Zona Barat|Mechanical|Berat|Human error|Korsleting|4815000
Pompa Transfer Grundfos di Gedung C Lantai 1 Zona Barat nggak bisa jalan|Laporan teknisi: Pompa Transfer Grundfos di Gedung C, Lantai 1, Zona Barat mengalami korsleting sehingga tidak dapat beroperasi|Pompa Transfer|Gedung C|Lantai 1|Zona Barat|Mechanical|Berat|Human error|Korsleting|4815000
Pompa Transfer di Gedung C Lantai 1 Zona Barat kena korslet|Pompa Transfer Grundfos di Gedung C, Lantai 1, Zona Barat mengalami kerusakan akibat human error yang menyebabkan korsleting|Pompa Transfer|Gedung C|Lantai 1|Zona Barat|Mechanical|Berat|Human error|Korsleting|4815000
DVR CCTV di Gedung Servis Lantai 1 Zona Barat rusak parah, gak bisa rekam|DVR CCTV Dahua di Gedung Servis Lantai 1 Zona Barat mengalami kerusakan berat, tidak dapat merekam|DVR CCTV|Gedung Servis|Lantai 1|Zona Barat|Security Sistem|Berat|Debu/kotoran|Aus/abrasi|3796000
DVR CCTV lantai 1 zona barat gedung servis dahua gak jalan, tolong bantu|Laporan kerusakan DVR CCTV Dahua di Gedung Servis Lantai 1 Zona Barat, tidak dapat beroperasi dengan normal|DVR CCTV|Gedung Servis|Lantai 1|Zona Barat|Security Sistem|Berat|Debu/kotoran|Aus/abrasi|3796000
Gedung servis lantai 1 zona barat DVR CCTV dahua mati, kira2 kerusakan apa?|Kerusakan DVR CCTV Dahua di Gedung Servis Lantai 1 Zona Barat, kemungkinan disebabkan oleh debu atau kotoran, perlu dilakukan perbaikan|DVR CCTV|Gedung Servis|Lantai 1|Zona Barat|Security Sistem|Berat|Debu/kotoran|Aus/abrasi|3796000
APAR Wet Chemical di Gedung Servis Lantai 1 Zona Selatan nggak nyala bro|APAR Wet Chemical di Gedung Servis Lantai 1 Zona Selatan mengalami kerusakan total dan tidak dapat digunakan|APAR Wet Chemical|Gedung Servis|Lantai 1|Zona Selatan|Sistem Pemadam Kebakaran|Ringan|Aus normal|Tidak berfungsi total|278000
APAR Wet Chemical di Lantai 1 Zona Selatan Gedung Servis rusak banget, gak bisa dipake|APAR Wet Chemical di Gedung Servis Lantai 1 Zona Selatan tidak berfungsi dengan baik dan perlu perbaikan segera|APAR Wet Chemical|Gedung Servis|Lantai 1|Zona Selatan|Sistem Pemadam Kebakaran|Ringan|Aus normal|Tidak berfungsi total|278000
APAR Wet Chemical di Gedung Servis Zona Selatan Lantai 1 gak jalan, tolong bantu|APAR Wet Chemical di Gedung Servis Lantai 1 Zona Selatan mengalami kerusakan pada sistemnya dan tidak dapat dioperasikan|APAR Wet Chemical|Gedung Servis|Lantai 1|Zona Selatan|Sistem Pemadam Kebakaran|Ringan|Aus normal|Tidak berfungsi total|278000
Kamera CCTV di gedung utama lantai 16 zona timur rusak parah|Laporan kerusakan Kamera CCTV Axis di Gedung Utama Lantai 16 Zona Timur dengan gejala retak dan pecah|Kamera CCTV|Gedung Utama|Lantai 16|Zona Timur|Security Sistem|Sedang|Kelembaban tinggi|Retak/pecah|708000
CCTV axis di lantai 16 gedung utama zona timur bermasalah|Kerusakan Kamera CCTV Axis di Gedung Utama Lantai 16 Zona Timur disebabkan kelembaban tinggi menyebabkan retak dan pecah|Kamera CCTV|Gedung Utama|Lantai 16|Zona Timur|Security Sistem|Sedang|Kelembaban tinggi|Retak/pecah|708000
Kamera cctv di zona timur lantai 16 gedung utama rusak berat|Laporan teknisi: Kamera CCTV Axis di Gedung Utama Lantai 16 Zona Timur mengalami kerusakan retak dan pecah akibat kelembaban tinggi|Kamera CCTV|Gedung Utama|Lantai 16|Zona Timur|Security Sistem|Sedang|Kelembaban tinggi|Retak/pecah|708000
UPS di gedung parkir lantai 2 zona selatan tiba-tiba mati|Laporan perbaikan Uninterruptible Power Supply (UPS) di Gedung Parkir, Lantai 2, Zona Selatan, karena mengalami overload yang menyebabkan korsleting|Uninterruptible Power Supply|Gedung Parkir|Lantai 2|Zona Selatan|Electrical|Ringan|Overload|Korsleting|416000
UPS di lantai 2 gedung parkir zona selatan tidak nyala lagi, tolong bantu|Laporan teknisi: UPS di Gedung Parkir, Lantai 2, Zona Selatan mengalami kerusakan karena overload, menyebabkan korsleting dan tidak dapat beroperasi|Uninterruptible Power Supply|Gedung Parkir|Lantai 2|Zona Selatan|Electrical|Ringan|Overload|Korsleting|416000
UPS di zona selatan lantai 2 gedung parkir tiba2 ngadat, gimana nih?|Laporan perawatan rutin UPS di Gedung Parkir, Lantai 2, Zona Selatan, karena terjadi overload yang menyebabkan korsleting dan memerlukan perbaikan segera|Uninterruptible Power Supply|Gedung Parkir|Lantai 2|Zona Selatan|Electrical|Ringan|Overload|Korsleting|416000
Dinding tembok gedung C lantai 7 zona selatan bocor parah, tolong dicek|Laporan kerusakan dinding tembok gedung C lantai 7 zona selatan, jenis kerusakan kebocoran, perlu perbaikan segera|Dinding Tembok/Mansonry|Gedung Gedung C|Lantai 7|Zona Selatan|Civil|Berat|Usia pakai|Kebocoran|6283000
Dinding tembok gedung C lantai 7 zona selatan rembes, apa yg salah|Laporan inspeksi dinding tembok gedung C lantai 7 zona selatan, ditemukan kerusakan kebocoran, disarankan perbaikan|Dinding Tembok/Mansonry|Gedung Gedung C|Lantai 7|Zona Selatan|Civil|Berat|Usia pakai|Kebocoran|6283000
Gedung C lantai 7 zona selatan, dinding tembok bocor, butuh bantuan secepatnya|Laporan teknisi tentang kerusakan dinding tembok gedung C lantai 7 zona selatan, jenis kerusakan kebocoran, biaya perbaikan sudah diestimasi|Dinding Tembok/Mansonry|Gedung Gedung C|Lantai 7|Zona Selatan|Civil|Berat|Usia pakai|Kebocoran|6283000
Gw butuh bantuan, dinding keramik mozaik di gedung utama lantai 10 zona selatan bocor parah|Laporan kerusakan dinding keramik mozaik di Gedung Utama, Lantai 10, Zona Selatan, menunjukkan gejala kebocoran|Dinding Keramik/Mozaik|Gedung Utama|Lantai 10|Zona Selatan|Civil|Ringan|Usia pakai|Kebocoran|446000
Dinding keramik mozaik gedung utama lantai 10 zona selatan rembes air, tolong dicek|Dinding keramik mozaik di Gedung Utama, Lantai 10, Zona Selatan mengalami kebocoran air, perlu penanganan segera|Dinding Keramik/Mozaik|Gedung Utama|Lantai 10|Zona Selatan|Civil|Ringan|Usia pakai|Kebocoran|446000
Lagi, dinding keramik mozaik di gedung utama lantai 10 zona selatan bocor, kira2 berapa biaya perbaikannya?|Laporan inspeksi menunjukkan bahwa dinding keramik mozaik di Gedung Utama, Lantai 10, Zona Selatan memerlukan perbaikan kebocoran, dengan biaya yang sudah diestimasi|Dinding Keramik/Mozaik|Gedung Utama|Lantai 10|Zona Selatan|Civil|Ringan|Usia pakai|Kebocoran|446000
Atas bantuan|Roof Tank di Gedung C Lantai 7 Zona Tengah mengalami sensor error karena human error|Roof Tank|Gedung C|Lantai 7|Zona Tengah|Distribusi Air|Berat|Human error|Sensor error|9953000
Roof Tank Gedung C rusak parah|Kerusakan pada Roof Tank di Gedung C Lantai 7 Zona Tengah disebabkan oleh human error yang menyebabkan sensor error|Roof Tank|Gedung C|Lantai 7|Zona Tengah|Distribusi Air|Berat|Human error|Sensor error|9953000
Tolong perbaiki Roof Tank di Gedung C Lantai 7|Laporan teknisi menunjukkan kerusakan berat pada Roof Tank di Gedung C Lantai 7 Zona Tengah karena human error yang menyebabkan sensor error|Roof Tank|Gedung C|Lantai 7|Zona Tengah|Distribusi Air|Berat|Human error|Sensor error|9953000
Monitor CCTV di Gedung C lantai 2 zona barat nggak nyala|Monitor CCTV Hikvision di Gedung C, Lantai 2, Zona Barat mengalami getaran berlebihan|Monitor CCTV|Gedung C|Lantai 2|Zona Barat|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
Hikvision CCTV di lantai 2 gedung C zona barat getar terus|Laporan teknisi: Monitor CCTV Hikvision di Gedung C, Lantai 2, Zona Barat mengalami kerusakan karena overload|Monitor CCTV|Gedung C|Lantai 2|Zona Barat|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
CCTV Hikvision di zona barat lantai 2 gedung C nggak jalan, kayaknya getaran berlebihan|Monitor CCTV Hikvision di Gedung C, Lantai 2, Zona Barat diperbaiki karena mengalami getaran berlebihan akibat overload|Monitor CCTV|Gedung C|Lantai 2|Zona Barat|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
AC Split di Gedung E lantai 4 zona selatan tiba2 gak dingin lagi|Laporan kerusakan AC Split di Gedung E, Lantai 4, Zona Selatan, bahwa aliran udara yang dihasilkan sangat lemah|AC Split|Gedung E|Lantai 4|Zona Selatan|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
AC Split di lantai 4 gedung E zona selatan gak berfungsi dengan baik, aliran udaranya lemah banget|Pemeriksaan dilakukan terhadap AC Split di Gedung E, Lantai 4, Zona Selatan, menemukan bahwa kurangnya perawatan menyebabkan aliran udara yang lemah|AC Split|Gedung E|Lantai 4|Zona Selatan|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
Gedung E lantai 4 zona selatan, AC Split nya bermasalah, gak ada angin yang keluar, tolong bantu|Kerusakan pada AC Split di Gedung E, Lantai 4, Zona Selatan, disebabkan oleh kurangnya perawatan yang menyebabkan aliran udara lemah, perlu perbaikan segera|AC Split|Gedung E|Lantai 4|Zona Selatan|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
Lampu UPS di gedung D lantai 10 zona timur mati tiba2|Laporan kerusakan Uninterruptible Power Supply di Gedung D, Lantai 10, Zona Timur, dengan gejala lampu mati secara tiba-tiba|Uninterruptible Power Supply|Gedung D|Lantai 10|Zona Timur|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
UPS di lantai 10 zona timur gedung D tiba2 ngga nyala|Kerusakan Uninterruptible Power Supply di Gedung D, Lantai 10, Zona Timur, dengan penyebab yang diduga faktor lingkungan|Uninterruptible Power Supply|Gedung D|Lantai 10|Zona Timur|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
UPS di zona timur lantai 10 gedung D lampunya mati totaal|Uninterruptible Power Supply di Gedung D, Lantai 10, Zona Timur, mengalami kerusakan dengan gejala lampu mati total, dengan biaya perbaikan yang diperlukan|Uninterruptible Power Supply|Gedung D|Lantai 10|Zona Timur|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
Lampu pylon sign di gedung A lantai 2 zona timur tiba2 mati|Laporan kerusakan lampu pylon sign di Gedung A, Lantai 2, Zona Timur, sudah diinvestigasi dan ditemukan bahwa kerusakan disebabkan oleh kualitas material|Lampu Pylon Sign|Gedung A|Lantai 2|Zona Timur|Electrical|Sedang|Kualitas material|Retak/pecah|1830000
Lampu di depan gedung A lantai 2 zona timur ada yg retak|Laporan kerusakan lampu pylon sign di Gedung A, Lantai 2, Zona Timur, menunjukkan bahwa kerusakan yang terjadi disebabkan oleh kualitas material yang tidak memadai|Lampu Pylon Sign|Gedung A|Lantai 2|Zona Timur|Electrical|Sedang|Kualitas material|Retak/pecah|1830000
Lampu pylon sign di zona timur lantai 2 gedung A tiba2 pecah|Laporan teknisi menunjukkan bahwa lampu pylon sign di Gedung A, Lantai 2, Zona Timur, mengalami kerusakan retak/pecah yang disebabkan oleh kualitas material yang buruk|Lampu Pylon Sign|Gedung A|Lantai 2|Zona Timur|Electrical|Sedang|Kualitas material|Retak/pecah|1830000
Genset Diesel di Gedung D lantai 9 zona timur tiba2 mati|Genset Diesel Cummins di Gedung D lantai 9 zona timur mengalami kerusakan mechanical sehingga tidak dapat beroperasi|Genset Diesel|Gedung D|Lantai 9|Zona Timur|Mechanical|Ringan|Usia pakai|Aus/abrasi|193000
Genset di Gedung D lantai 9 zona timur nggak nyala lagi|Laporan teknisi: Genset Diesel Cummins di Gedung D lantai 9 zona timur mengalami kerusakan aus/abrasi yang disebabkan oleh usia pakai|Genset Diesel|Gedung D|Lantai 9|Zona Timur|Mechanical|Ringan|Usia pakai|Aus/abrasi|193000
Genset Diesel di lantai 9 Gedung D zona timur tiba2 rusak|Genset Diesel Cummins di Gedung D lantai 9 zona timur mengalami kerusakan mechanical yang ringan dan dapat diperbaiki dengan biaya 193000|Genset Diesel|Gedung D|Lantai 9|Zona Timur|Mechanical|Ringan|Usia pakai|Aus/abrasi|193000
Urinal di gedung D lantai 6 zona selatan rusak gak nyala|Urinal di Gedung D, Lantai 6, Zona Selatan mengalami kerusakan pada sistem sensor, sehingga tidak dapat berfungsi dengan normal|Urinal|Gedung D|Lantai 6|Zona Selatan|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Urinal di lantai 6 gedung D zona selatan gak jalan|Laporan teknisi: Urinal di Gedung D, Lantai 6, Zona Selatan mengalami gangguan pada sensor, perlu dilakukan perbaikan segera|Urinal|Gedung D|Lantai 6|Zona Selatan|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Urinal di gedung D lantai 6 zona selatan rusak parah gak bisa dipake|Teknisi melaporkan: Urinal di Gedung D, Lantai 6, Zona Selatan mengalami kerusakan pada sistem sensor, sehingga tidak dapat digunakan, perlu perbaikan dengan biaya yang telah ditentukan|Urinal|Gedung D|Lantai 6|Zona Selatan|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Gedung C Lantai 1 zona utara exhaust fan panasonic kita mati total|Laporan perbaikan Exhaust Fan Panasonic di Gedung C, Lantai 1, Zona Utara menunjukkan bahwa aset tersebut mengalami kerusakan total|Exhaust Fan|Gedung C|Lantai 1|Zona Utara|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
Exhaust fan panasonic di gedung c lantai 1 zona utara nggak nyala sama sekali|Pemeriksaan awal menunjukkan bahwa Exhaust Fan Panasonic di Gedung C, Lantai 1, Zona Utara tidak berfungsi dengan baik dan memerlukan perbaikan segera|Exhaust Fan|Gedung C|Lantai 1|Zona Utara|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
Kita ada masalah dengan exhaust fan panasonic di gedung c lantai 1 zona utara, udah coba nyalain tapi nggak mau nyala juga|Hasil diagnosis menunjukkan bahwa Exhaust Fan Panasonic di Gedung C, Lantai 1, Zona Utara mengalami kerusakan parah dan perlu diganti|Exhaust Fan|Gedung C|Lantai 1|Zona Utara|Ventilasi Sistem|Berat|Aus normal|Tidak berfungsi total|2069000
AC Split di gedung A lantai 15 tiba2 mati|Laporan perbaikan AC Split Mitsubishi di Gedung A lantai 15 zona tengah mengalami mati mendadak karena overload|AC Split|Gedung A|Lantai 15|Zona Tengah|Mechanical|Ringan|Overload|Mati mendadak|446000
Gedung A lantai 15 zona tengah AC Split tiba2 nggak nyala|Pemeriksaan AC Split Mitsubishi di Gedung A lantai 15 zona tengah menunjukkan kerusakan karena overload yang menyebabkan mati mendadak|AC Split|Gedung A|Lantai 15|Zona Tengah|Mechanical|Ringan|Overload|Mati mendadak|446000
Lagi kerja tiba2 AC Split di gedung A lantai 15 zona tengah mati, tolong bantu|Perbaikan AC Split Mitsubishi di Gedung A lantai 15 zona tengah telah dilakukan karena kerusakan mati mendadak akibat overload|AC Split|Gedung A|Lantai 15|Zona Tengah|Mechanical|Ringan|Overload|Mati mendadak|446000
Lampu LED Downlight di Gedung A Lantai 6 Zona Timur rusak parah bro|Laporan kerusakan Lampu LED Downlight di Gedung A Lantai 6 Zona Timur, kondisi tampilan rusak|Lampu LED Downlight|Gedung A|Lantai 6|Zona Timur|Electrical|Sedang|Korosi|Tampilan rusak|1882000
Lampu di Gedung A Lantai 6 Zona Timur mati total, kayaknya LED Downlight|Kerusakan pada Lampu LED Downlight di Gedung A Lantai 6 Zona Timur, kemungkinan disebabkan oleh korosi, perlu perbaikan segera|Lampu LED Downlight|Gedung A|Lantai 6|Zona Timur|Electrical|Sedang|Korosi|Tampilan rusak|1882000
Lampu LED Downlight di Lantai 6 Zona Timur Gedung A rusak berat, mungkin karena korosi|Laporan teknisi: kerusakan pada Lampu LED Downlight di Gedung A Lantai 6 Zona Timur, dengan gejala tampilan rusak, perlu penanganan segera|Lampu LED Downlight|Gedung A|Lantai 6|Zona Timur|Electrical|Sedang|Korosi|Tampilan rusak|1882000
dinding keramik di gedung D lantai 10 zona barat rusak parah banget|Dinding keramik/mozaik di Gedung D, Lantai 10, Zona Barat mengalami kerusakan yang memerlukan perbaikan segera|Dinding Keramik/Mozaik|Gedung D|Lantai 10|Zona Barat|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
dinding keramik lantai 10 gedung D zona barat performanya turun drastis|Laporan teknisi: Dinding keramik/mozaik di Gedung D, Lantai 10, Zona Barat mengalami penurunan performa yang signifikan|Dinding Keramik/Mozaik|Gedung D|Lantai 10|Zona Barat|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
gedung D lantai 10 zona barat dinding keramiknya rusak gak tahu knp|Inspeksi teknisi menemukan bahwa dinding keramik/mozaik di Gedung D, Lantai 10, Zona Barat mengalami kerusakan yang diakibatkan oleh faktor lingkungan|Dinding Keramik/Mozaik|Gedung D|Lantai 10|Zona Barat|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
AC Split di Gedung D lantai 11 zona barat mati total|Laporan perbaikan AC Split merek Gree di Gedung D lantai 11 zona barat menunjukkan kerusakan berat akibat korosi|AC Split|Gedung D|Lantai 11|Zona Barat|Mechanical|Berat|Korosi|Macet/tersumbat|8156000
AC Split di lantai 11 Gedung D zona barat gak nyala|Inspeksi AC Split merek Gree di Gedung D lantai 11 zona barat menemukan kerusakan yang disebabkan oleh korosi sehingga menyebabkan kerusakan berat|AC Split|Gedung D|Lantai 11|Zona Barat|Mechanical|Berat|Korosi|Macet/tersumbat|8156000
Lagi, AC Split di Gedung D lantai 11 zona barat tiba2 gak bisa dinyalain|Pemeriksaan AC Split merek Gree di Gedung D lantai 11 zona barat menunjukkan bahwa kerusakan yang terjadi disebabkan oleh korosi yang menyebabkan kerusakan berat pada aset|AC Split|Gedung D|Lantai 11|Zona Barat|Mechanical|Berat|Korosi|Macet/tersumbat|8156000
Urinal di Gedung E lantai 6 zona barat bocor parah banget|Laporan kerusakan Urinal di Gedung E lantai 6 zona barat, ditemukan kebocoran yang parah|Urinal|Gedung E|Lantai 6|Zona Barat|Plumbing|Fatal|Overload|Koneksi terputus|18424000
Urinal di zona barat lantai 6 gedung E rusak berat, airnya nyangkut terus|Pemeriksaan Urinal di zona barat lantai 6 gedung E menunjukkan kerusakan berat, kemungkinan disebabkan oleh overload|Urinal|Gedung E|Lantai 6|Zona Barat|Plumbing|Fatal|Overload|Koneksi terputus|18424000
Ga bisa pake Urinal di gedung E lantai 6 zona barat, katanya overload, airnya tiba2 mati|Inspeksi Urinal di gedung E lantai 6 zona barat menemukan bahwa kerusakan disebabkan oleh overload, sehingga mengakibatkan koneksi terputus|Urinal|Gedung E|Lantai 6|Zona Barat|Plumbing|Fatal|Overload|Koneksi terputus|18424000
PABX di Gedung Utama lantai 10 zona utara bunyi aneh banget|Laporan kerusakan PABX di Gedung Utama lantai 10 zona utara dengan bunyi abnormal, perlu pengecekan segera|PABX|Gedung Utama|Lantai 10|Zona Utara|Sistem Telekomunikasi Gedung|Fatal|Debu/kotoran|Bunyi abnormal|43682000
PABX di lantai 10 zona utara gedung utama nggak bunyi normal, kayak ada suara aneh|PABX di Gedung Utama lantai 10 zona utara mengalami kerusakan dengan gejala bunyi abnormal, kemungkinan disebabkan oleh debu atau kotoran|PABX|Gedung Utama|Lantai 10|Zona Utara|Sistem Telekomunikasi Gedung|Fatal|Debu/kotoran|Bunyi abnormal|43682000
PABX zona utara lantai 10 gedung utama bunyi aneh, tolong dicek|Kerusakan PABX di Gedung Utama lantai 10 zona utara dengan gejala bunyi abnormal, perlu dilakukan pembersihan dan pengecekan untuk menghilangkan debu atau kotoran|PABX|Gedung Utama|Lantai 10|Zona Utara|Sistem Telekomunikasi Gedung|Fatal|Debu/kotoran|Bunyi abnormal|43682000
Pintu Kaca Hidrolik di Gedung Utama Lantai 18 Zona Barat nggak bisa dibuka|Pintu Kaca Hidrolik di Gedung Utama Lantai 18 Zona Barat mengalami gangguan, tidak dapat dibuka karena sensor error|Pintu Kaca Hidrolik|Gedung Utama|Lantai 18|Zona Barat|Arsitektur|Berat|Debu/kotoran|Sensor error|2569000
